`manufacturers_id`;`manufacturers_name`;`manufacturers_image`;`date_added`;`last_modified`
`72`;`G&G Armament`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`73`;`G&P`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`74`;`G5 Outdoors`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`75`;`GameFace`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`76`;`Gamo`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`77`;`GoldenBall`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`78`;`GrovTec`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`79`;`GSG`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`80`;`Haendler & Natermann`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`81`;`Hakkotsu`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`82`;`Hammerli`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`83`;`Harris Bipods`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`84`;`Hatsan`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`85`;`Hawke Sport Optics`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`86`;`Heckler & Koch`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`87`;`HFC`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`88`;`Hill`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`89`;`Hoppe's `;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`90`;`ICS`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`91`;`Intellect`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`92`;`IZH-Baikal`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`93`;`JAG Precision`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`94`;`Javelin Airsoft Works`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`95`;`JSB`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`96`;`JT`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`97`;`King Arms`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`98`;`King Tactical`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`99`;`KingMan`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`100`;`KJ Works`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`101`;`Kruger`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`102`;`KWA`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`103`;`KWC`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`104`;`Laser Genetics`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`105`;`LaserLyte`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`106`;`Leapers`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`107`;`Legends`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`108`;`Leland`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`109`;`Logun`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`110`;`Mad Bull`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
