`SKU`;`ProductName`;`Manufacturer`;`ProductDescription1`;`ProductDescription2`;`SubModelDescription`;`MainImageURL`;`ShippingWeight`;`Caliber`;`Velocity`;`Parentage`;`ParentSKU`;`MSRP`;`MAP`;`InStockDate`;`InStockQuantity`;`QBItem`;`WNet`;`SmallImageURL`;`Category`;`UPC`;`BuyButtonDisabled
`
`PY-702`;`KJ Works M9-FM Airsoft Full Metal GasPistol `;`KJ Works`;`The KJ M9 is the perfect gun for reliability, quality, performance, and practicality. Beautiful and realistic, this reliable full metal gas blow back is also very powerful. The slide kicks back hard and small recoil could be felt upon firing. This gun can shoot with green gas. The high capacity magazine holds 25 rounds.   Manufacturer: KJW Distributed by ASG Scale: 1:1 Full Size Replica Frame Material: Metal Slide Material: Metal Realistic Blowback Action Works With Optional CO2 Magazine for Higher FPS     Velocities: CO2 340-360 fps w/ .20g BBs 290-300 fps w/ .25g BBs  Green Gas 320-340 fps w/ .20g BBs 280-290 fps w/ .25g BBs `;``;``;`http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_lg.jpg`;`2.27`;`0.24`;`360.00`;`model`;``;`169.99`;`129.99`;``;``;``;`0.00`;`http://www.pyramydair.com/images/KJ-Works-M9-Metal_KJ-M9FM_airsoft_sm.jpg`;`AIRSOFT GUNS`;`5707843052832`;`false
`
`PY-743`;`UHC 92 Spring Airsoft  Pistol, Black`;`UHC`;`The UHC 92 Black Spring Pistol is a rugged and accurate sidearm that won't fail to impress competitors in the field. This heavyweight gun is a 1:1 scale replica of its reliable military-issued firearm counterpart and features a hop-up shooting system, working hammer, and a shot velocity of 240 fps. Spring airsoft guns are an excellent choice for airsoft enthusiasts who are looking for a reliable, battle-ready gun with a great balance of power and performance.       Features:  Black Plastic Body & Handlegrips Spring Cocking Air Piston System Comes with pack of 100 BBs.  `;``;``;`http://www.pyramydair.com/images/UHC-92-Spring-Black_LESOFT-U958BH_airsoft_lg.jpg`;`1.36`;`0.24`;`240.00`;`model`;``;`25.00`;`17.90`;``;``;``;`0.00`;`http://www.pyramydair.com/images/UHC-92-Spring-Black_LESOFT-U958BH_airsoft_sm.jpg`;`AIRSOFT GUNS`;``;`false
`
`PY-869`;`UTG Airsoft Master Sniper Black`;`UTG`;`The Airsoft UTG Black Master Sniper Rifle is one of the hottest rifles in the market today. This awesome gun is part of the new 5th  Generation Master Sniper line, and is also a replica of the powerful M700 sniper rifle used by law enforcement and military professionals throughout the world. The gun features an adjustable hop-up, BB Speed Loader, and a muzzle velocity of 460 fps (using .20g BBs).The balanced, lightweight body of this gun make it an ideal gun for beginning airsofters. Do not miss this gun!    Features:  Polymer Stock with Metal Barrel Fire Mode: Bolt-Action Scope Rail: Picatinny Weaver Effective Range: 200-250 Feet `;``;``;`http://www.pyramydair.com/images/SOFT-M324S-B_unscoped_lg.jpg`;`5.90`;`0.24`;`460.00`;`model`;``;`159.95`;`129.99`;``;``;``;`0.00`;`http://www.pyramydair.com/images/SOFT-M324S-B_unscoped_sm.jpg`;`AIRSOFT GUNS`;`4712274522190`;`false
`
`PY-916-1736`;`KJ Works MK1 Gas Non-Blowback Airsoft Pistol `;`KJ Works`;`The KJ Mk1 is the great gun for reliability, quality, performance, and practicality. Beautiful and realistic, this very powerful non-blowback pistol optimal for skirmishing. Construction: This is the latest version of the Mk.1 so it has the metal hop up.Solidly built with all metal internals encased in a heavy duty ABS plastic frame the Mk.1 is a very sturdy and reliable sidearm.Metal parts include a full size removable magazine, rear sights, and trigger. A large plume of gas discharges from the barrel with each shot. The magazine holds 16 rounds.  Velocities range from 370-398 fps as tested by our Tech department.`;``;`Orange muzzleNew version (metal hopup chamber)  Shooting Mode: SemiNonblow back airsoft gun Magazine Capacity - 17 Length - 9.65 (in) 245.0 mm  Weight - 1.3 lbs (600 g) Hop Up - AdjustableManufactured by KJ WorkMade in TaiwanDistributed by ASG  Velocities tested by our Tech department range from 371-398 fps with .20g BBs.`;`http://www.pyramydair.com/images/KJ-Works-MK1-Gas-Non-Blowback-Airsoft-Pistol_KJ-MK1.jpg`;`1.29`;`0.24`;`390.00`;`submodel`;`PY-916`;`79.90`;`44.95`;``;`100`;`ASG-50041`;`30.28`;`http://www.pyramydair.com/images/KJ-Works-MK1-Gas-Non-Blowback-Airsoft-Pistol_KJ-MK1_sm.jpg`;`AIRSOFT GUNS`;`5707843051477`;`false
`
`PY-916-6303`;`KJ Works MK1 Gas Non-Blowback Airsoft Pistol `;`KJ Works`;`The KJ Mk1 is the great gun for reliability, quality, performance, and practicality. Beautiful and realistic, this very powerful non-blowback pistol optimal for skirmishing. Construction: This is the latest version of the Mk.1 so it has the metal hop up.Solidly built with all metal internals encased in a heavy duty ABS plastic frame the Mk.1 is a very sturdy and reliable sidearm.Metal parts include a full size removable magazine, rear sights, and trigger. A large plume of gas discharges from the barrel with each shot. The magazine holds 16 rounds.  Velocities range from 370-398 fps as tested by our Tech department.`;``;`Orange muzzleNew version (metal hopup chamber)  Shooting Mode: SemiNonblow back airsoft gun Magazine Capacity - 17 Length - 9.65 (in) 245.0 mm  Weight - 1.3 lbs (600 g) Hop Up - AdjustableManufactured by KJ WorkMade in Taiwan  Velocities tested by our Tech department range from 370-406 fps with .20g BBs.`;`http://www.pyramydair.com/images/KJ-Works-MK1-Gas-Non-Blowback-Airsoft-Pistol_KJ-MK1.jpg`;`1.41`;`0.24`;`390.00`;`submodel`;`PY-916`;`79.90`;`39.95`;``;`100`;`KJ-MK1`;`34.35`;`http://www.pyramydair.com/images/KJ-Works-MK1-Gas-Non-Blowback-Airsoft-Pistol_KJ-MK1_sm.jpg`;`AIRSOFT GUNS`;``;`false
